50	307
53	353
60	400
70	443
87	480
110	513
140	537
173	557
213	563
253	557
283	537
310	513
333	480
353	440
363	397
370	350
370	307
83	277
103	257
133	253
163	260
190	277
243	277
270	263
297	257
327	260
347	280
217	313
217	343
217	377
220	407
180	423
197	427
217	433
237	427
253	423
113	307
133	300
153	303
170	317
150	320
130	317
260	320
277	307
297	303
313	313
300	320
280	323
160	470
183	463
200	460
217	463
233	460
250	467
270	477
250	487
233	493
217	497
200	493
180	487
170	473
200	473
217	477
233	473
260	477
233	473
217	477
200	473
