y	H_median	S_median	V_median
2	26.25	0.4118	0.1255
3	21.1765	0.5385	0.1333
1	26.4	0.5102	0.2078
1	26.8421	0.55	0.2196
4	32.7273	0.3684	0.0706
4	18.9474	0.5	0.1216
1	23.4783	0.4583	0.1804
4	16.3636	0.4872	0.1569
4	26.6667	0.5	0.1098
4	18.9474	0.4643	0.1137
4	17.5	0.4643	0.1333
4	17.5	0.4188	0.1333
1	26.25	0.4524	0.1608
4	17.5	0.4848	0.1529
4	21.4286	0.375	0.1098
4	18.9474	0.4902	0.1294
4	23.4783	0.4894	0.1686
4	16.3636	0.4286	0.1098
4	19.2	0.5	0.1451
4	18.9474	0.4643	0.1176
4	20	0.381	0.1176
2	24	0.5625	0.1922
4	19.0909	0.4503	0.1294
4	21.4286	0.3667	0.102
3	15.5556	0.5714	0.1608
4	22.5	0.4615	0.1569
4	16.3636	0.3929	0.1098
4	19.0909	0.4483	0.1333
4	16.3636	0.4138	0.1176
3	22.8571	0.561	0.1412
3	18.9474	0.5789	0.1294
3	19.2	0.5682	0.1569
3	19.0909	0.5789	0.1686
3	19.0909	0.35	0.1529
3	16.1538	0.5	0.149
4	16.3636	0.4516	0.1059
4	16	0.5	0.0902
4	26.6667	0.3548	0.102
4	16.3636	0.4	0.1137
4	10	0.4737	0.1294
1	32.7273	0.3235	0.1451
2	22.8571	0.5	0.1569
4	17.5	0.5135	0.1529
3	22.2222	0.5918	0.2078
1	26.4	0.4286	0.1569
3	18.6207	0.5455	0.1725
4	19.3674	0.4753	0.1294
4	18.9474	0.4286	0.1216
3	18.6207	0.5686	0.1843
3	17.5	0.3874	0.1373
2	20	0.6429	0.2039
4	15	0.4118	0.1216
2	22.2222	0.5682	0.1922
3	17.5	0.5238	0.1529
3	18.9474	0.5841	0.1569
4	17.5	0.6182	0.1882
3	20	0.3333	0.1686
3	18.6207	0.5689	0.1686
4	12	0.2903	0.1529
4	16	0.4286	0.1255
4	16.5818	0.5128	0.149
4	17.5	0.6552	0.1294
3	12.4138	0.4359	0.1686
3	14.7	0.3012	0.149
1	19.0909	0.617	0.2314
3	16.1538	0.4681	0.1922
3	13.125	0.5357	0.1922
3	11.5385	0.4701	0.1686
1	17.3684	0.4907	0.1843
3	15	0.4054	0.149
2	20	0.5714	0.251
4	12	0.3636	0.1608
3	15	0.4762	0.1608
1	45	0.1065	0.251
1	23.3333	0.4615	0.3098
4	25.7143	0.2692	0.1098
1	34	0.4262	0.2235
2	19.2	0.5385	0.2157
3	17.5	0.3953	0.1765
3	21.2903	0.6	0.1843
4	27.6923	0.2903	0.0863
2	21.4286	0.4333	0.1176
2	19.0909	0.4194	0.1255
3	25.7143	0.2727	0.0863
3	19.0909	0.4286	0.1176
1	19.2	0.4	0.1647
4	22.5	0.3182	0.0941
3	16.3636	0.3929	0.1176
2	21.1765	0.375	0.1216
3	16.3636	0.4516	0.102
3	25.7143	0.381	0.0824
4	22.5	0.4	0.0941
1	21.1765	0.4231	0.1333
3	16.3636	0.4231	0.102
1	18.9474	0.4483	0.149
2	22.2222	0.4	0.1333
3	26.6667	0.4286	0.0824
3	25.7143	0.3929	0.0941
3	16.3636	0.4583	0.1176
4	40	0.3125	0.0627
4	16.3636	0.4828	0.1216
4	16.3636	0.44	0.1098
4	10.9091	0.4286	0.1373
4	21.1765	0.4194	0.0824
4	21.4286	0.3333	0.1098
4	26.6667	0.2778	0.0745
3	21.4286	0.5	0.098
4	21.1765	0.4118	0.1176
4	16.3636	0.375	0.0941
3	21.1765	0.4722	0.1333
4	16.3636	0.381	0.0941
4	22.5	0.3391	0.0863
4	22.5	0.3483	0.1137
3	16.3636	0.4545	0.1373
4	16	0.3871	0.1176
3	16.1538	0.4474	0.1451
4	16	0.4231	0.1059
3	19.2	0.5116	0.149
4	25.7143	0.3929	0.1098
4	16.3636	0.3824	0.1216
3	22.5	0.5	0.0784
3	22.5	0.3889	0.098
3	17.5	0.4444	0.1373
3	21.1765	0.4375	0.1294
3	19.0909	0.5152	0.1216
4	16	0.44	0.1137
4	16.3636	0.4667	0.102
3	18.9474	0.5135	0.1176
4	18.9474	0.4722	0.1176
4	12	0.3824	0.1137
4	22.5	0.35	0.0902
2	21.4286	0.4412	0.1529
1	29.0323	0.3571	0.1569
3	19.2	0.4634	0.149
1	20	0.3902	0.149
4	16.3636	0.4643	0.1098
4	16.3636	0.3548	0.1333
4	22.5	0.4286	0.0863
3	16.1538	0.5306	0.1647
4	21.4286	0.4231	0.1176
4	16	0.4286	0.1216
1	30	0.4754	0.2118
1	30	0.4062	0.1569
4	16.3636	0.4286	0.1294
4	17.5	0.5	0.102
3	19.0909	0.4667	0.1294
3	17.5	0.5172	0.1059
4	18.9474	0.4839	0.1373
3	22.8571	0.4783	0.1176
1	12	0.2368	0.1137
2	22.5	0.5	0.1294
3	21.4286	0.44	0.1059
3	18.9474	0.5526	0.1529
4	18.9474	0.475	0.1333
4	16	0.3862	0.1294
4	18.9474	0.4872	0.1294
3	18.6207	0.4	0.1765
3	16	0.3333	0.1255
4	22.5	0.4	0.0863
4	16.3636	0.4231	0.0863
4	21.4286	0.4667	0.0745
4	21.4286	0.4231	0.0941
4	25.7143	0.45	0.0784
4	19.0909	0.4211	0.098
4	26.6667	0.3077	0.0902
4	16.3636	0.3438	0.1176
4	16.3636	0.4286	0.098
4	25.7143	0.375	0.0863
4	18.9474	0.5152	0.1294
3	16	0.4375	0.1255
3	15.5556	0.4921	0.1765
3	17.5	0.4286	0.1451
4	12	0.3714	0.1176
3	21.4286	0.4167	0.1569
4	16.3636	0.4068	0.1373
4	19.0909	0.475	0.1294
4	16.3636	0.4	0.1059
4	18.9474	0.3774	0.1255
4	18.6207	0.5	0.1451
3	17.6471	0.4409	0.149
3	19.0909	0.55	0.1059
4	17.5	0.4474	0.149
4	16.3636	0.5556	0.1373
4	16.3636	0.381	0.1059
4	16.3636	0.4286	0.0902
4	21.1765	0.4688	0.1255
3	17.5	0.5	0.1529
3	21.1765	0.5385	0.1412
4	16	0.5	0.102
4	18.9474	0.5	0.0941
4	22.5	0.3214	0.102
4	16.3636	0.4688	0.1216
1	22.8571	0.3902	0.1686
4	10.5882	0.4231	0.1294
3	17.5	0.4861	0.1294
4	18.9474	0.4615	0.1059
3	12.3529	0.4359	0.1216
3	16	0.4333	0.1098
3	16.1538	0.4537	0.1608
3	15.5556	0.4615	0.1608
4	16.3636	0.3636	0.1098
4	14.4	0.4839	0.1333
3	18.6207	0.4839	0.1373
3	19.2	0.54	0.1686
3	15	0.449	0.1451
2	21.4286	0.561	0.1961
4	15	0.5	0.1294
2	20	0.5747	0.1686
3	15	0.4062	0.1176
3	15.5556	0.5952	0.1725
3	16.1538	0.4857	0.1686
4	18.9474	0.4743	0.1333
3	17.6471	0.5417	0.2
2	15.5556	0.58	0.1824
4	15	0.434	0.1529
3	16.1538	0.4333	0.1569
4	18.9474	0.5319	0.1451
4	16.1538	0.4762	0.149
4	16	0.4286	0.1373
3	17.6471	0.6087	0.1843
4	22.5	0.4348	0.0784
1	21.2903	0.5625	0.1961
3	16	0.5417	0.1765
4	16.3636	0.4643	0.1216
1	17.6471	0.4553	0.1765
1	20	0.5806	0.2157
3	15	0.5309	0.1725
1	28.8889	0.4576	0.2196
3	16.9231	0.5909	0.2078
4	18.9474	0.5385	0.1294
3	15	0.4253	0.1961
3	17.3684	0.5745	0.2118
3	18.6207	0.6461	0.1647
2	16.9231	0.6102	0.2353
2	26.6667	0.5309	0.2745
2	21.9512	0.5789	0.2667
1	28.4605	0.4571	0.2941
4	16.1538	0.3448	0.1412
3	15.4839	0.5962	0.1804
3	17.5	0.5333	0.1725
4	12	0.4603	0.149
2	21.9231	0.6341	0.2667
2	15.4839	0.4462	0.2196
3	17.3333	0.5517	0.2667
1	28.4211	0.2857	0.251
3	16.1538	0.4524	0.1686
3	15.5556	0.5	0.1804
3	15	0.4	0.2078
3	21.1765	0.5333	0.1647
3	15.4839	0.5217	0.2078
4	16	0.5745	0.1882
3	18.6207	0.5079	0.2588
3	15	0.52	0.2
3	17.3684	0.55	0.2314
4	15.4839	0.5143	0.1765
3	15.4839	0.5088	0.1961
3	13.125	0.5	0.2078
3	20	0.6193	0.2863
3	16.1538	0.375	0.2431
4	16.3636	0.2812	0.1373
4	16	0.4286	0.1608
4	15	0.413	0.1725
4	17.5	0.5263	0.1333
2	22.9787	0.5806	0.2863
4	15	0.4034	0.2
3	15	0.4615	0.1961
3	16.1538	0.5135	0.2196
3	21.4286	0.6299	0.2353
2	18.75	0.5789	0.2471
3	17.3684	0.6415	0.2
3	20	0.6094	0.2314
3	18.6207	0.5667	0.251
3	17.3333	0.5152	0.2588
3	21.2903	0.5849	0.1843
2	19.5349	0.5195	0.2784
2	20.625	0.5765	0.2902
3	19.5349	0.5966	0.2392
4	17.6471	0.5532	0.1922
3	15.6522	0.5849	0.2157
3	12	0.3415	0.1804
3	16	0.5696	0.2667
2	26.25	0.5455	0.251
1	21.3333	0.5753	0.251
3	16.1538	0.4651	0.1804
3	15.4839	0.4	0.2471
3	15.4839	0.5273	0.2
2	20	0.5974	0.2863
4	15	0.375	0.1961
2	18.1132	0.6216	0.2941
3	15.5556	0.4821	0.1765
3	16	0.5306	0.2353
3	20	0.5645	0.2353
3	15.4839	0.5565	0.2157
3	15.5556	0.5849	0.2
4	15.6522	0.3438	0.1412
3	18.6207	0.5532	0.1765
3	16.1538	0.5085	0.2
3	15.6522	0.5417	0.2275
2	18	0.5714	0.2275
3	18	0.5078	0.2824
3	15	0.3793	0.1294
